"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
-0.397411	0.414399	-0.397411	1.73912	0.397411	1.73912
-0.385722	0.414089	-0.385722	1.7384	0.385722	1.7384
-0.374034	0.413783	-0.374034	1.7377	0.374034	1.7377
-0.362345	0.413481	-0.362345	1.73699	0.362345	1.73699
-0.350657	0.413182	-0.350657	1.73629	0.350657	1.73629
-0.338968	0.412885	-0.338968	1.73559	0.338968	1.73559
-0.32728	0.412592	-0.32728	1.73489	0.32728	1.73489
-0.315591	0.4123	-0.315591	1.7342	0.315591	1.7342
-0.303902	0.412011	-0.303902	1.73351	0.303902	1.73351
-0.292214	0.411723	-0.292214	1.73282	0.292214	1.73282
-0.280525	0.411437	-0.280525	1.73214	0.280525	1.73214
-0.268837	0.411152	-0.268837	1.73145	0.268837	1.73145
-0.257148	0.410868	-0.257148	1.73077	0.257148	1.73077
-0.24546	0.410585	-0.24546	1.73008	0.24546	1.73008
-0.233771	0.410302	-0.233771	1.7294	0.233771	1.7294
-0.222083	0.41002	-0.222083	1.72872	0.222083	1.72872
-0.210394	0.409737	-0.210394	1.72803	0.210394	1.72803
-0.198705	0.409454	-0.198705	1.72735	0.198705	1.72735
-0.187017	0.409171	-0.187017	1.72667	0.187017	1.72667
-0.175328	0.408888	-0.175328	1.72599	0.175328	1.72599
-0.16364	0.408603	-0.16364	1.7253	0.16364	1.7253
-0.151951	0.408318	-0.151951	1.72462	0.151951	1.72462
-0.140263	0.408032	-0.140263	1.72394	0.140263	1.72394
-0.128574	0.407744	-0.128574	1.72325	0.128574	1.72325
-0.116886	0.407455	-0.116886	1.72256	0.116886	1.72256
-0.105197	0.407164	-0.105197	1.72188	0.105197	1.72188
-0.0935084	0.406872	-0.0935084	1.72119	0.0935084	1.72119
-0.0818199	0.406578	-0.0818199	1.7205	0.0818199	1.7205
-0.0701313	0.406282	-0.0701313	1.7198	0.0701313	1.7198
-0.0584428	0.405985	-0.0584428	1.71911	0.0584428	1.71911
-0.0467542	0.405685	-0.0467542	1.71841	0.0467542	1.71841
-0.0350657	0.405382	-0.0350657	1.71771	0.0350657	1.71771
-0.0233771	0.405078	-0.0233771	1.71701	0.0233771	1.71701
-0.0116886	0.404771	-0.0116886	1.71631	0.0116886	1.71631
0	0.404462	0	1.71561	-0	1.71561
0.0116886	0.404151	0.0116886	1.7149	-0.0116886	1.7149
0.0233771	0.403837	0.0233771	1.71419	-0.0233771	1.71419
0.0350657	0.403521	0.0350657	1.71348	-0.0350657	1.71348
0.0467542	0.403202	0.0467542	1.71277	-0.0467542	1.71277
0.0584428	0.40288	0.0584428	1.71205	-0.0584428	1.71205
0.0701313	0.402556	0.0701313	1.71133	-0.0701313	1.71133
