"Force Factor Bl (X)"			
"Bl (|X| < Xprot)"		"Bl (-X)"	
"X [mm]"	"Bl [N/A]"	"X [mm]"	"Bl [N/A]"
1.60133	1.23346	-1.60133	1.23346
1.61302	1.22597	-1.61302	1.22597
1.62471	1.21845	-1.62471	1.21845
1.6364	1.2109	-1.6364	1.2109
1.64809	1.20333	-1.64809	1.20333
1.65977	1.19572	-1.65977	1.19572
1.67146	1.1881	-1.67146	1.1881
1.68315	1.18045	-1.68315	1.18045
1.69484	1.17278	-1.69484	1.17278
1.70653	1.16509	-1.70653	1.16509
1.71822	1.15738	-1.71822	1.15738
1.72991	1.14965	-1.72991	1.14965
1.74159	1.14191	-1.74159	1.14191
1.75328	1.13415	-1.75328	1.13415
1.76497	1.12638	-1.76497	1.12638
1.77666	1.1186	-1.77666	1.1186
1.78835	1.11081	-1.78835	1.11081
1.80004	1.10301	-1.80004	1.10301
1.81173	1.0952	-1.81173	1.0952
1.82341	1.08739	-1.82341	1.08739
1.8351	1.07957	-1.8351	1.07957
1.84679	1.07176	-1.84679	1.07176
1.85848	1.06393	-1.85848	1.06393
1.87017	1.05611	-1.87017	1.05611
1.88186	1.0483	-1.88186	1.0483
1.89355	1.04048	-1.89355	1.04048
1.90523	1.03267	-1.90523	1.03267
1.91692	1.02486	-1.91692	1.02486
1.92861	1.01706	-1.92861	1.01706
1.9403	1.00927	-1.9403	1.00927
1.95199	1.00148	-1.95199	1.00148
1.96368	0.993712	-1.96368	0.993712
1.97537	0.985951	-1.97537	0.985951
1.98705	0.978203	-1.98705	0.978203
1.99874	0.970469	-1.99874	0.970469
2.01043	0.96275	-2.01043	0.96275
2.02212	0.955047	-2.02212	0.955047
2.03381	0.947362	-2.03381	0.947362
2.0455	0.939696	-2.0455	0.939696
2.05719	0.93205	-2.05719	0.93205
2.06887	0.924424	-2.06887	0.924424
2.08056	0.91682	-2.08056	0.91682
2.09225	0.909239	-2.09225	0.909239
2.10394	0.901682	-2.10394	0.901682
2.11563	0.89415	-2.11563	0.89415
2.12732	0.886643	-2.12732	0.886643
2.13901	0.879164	-2.13901	0.879164
2.15069	0.871712	-2.15069	0.871712
2.16238	0.864288	-2.16238	0.864288
2.17407	0.856894	-2.17407	0.856894
2.18576	0.84953	-2.18576	0.84953
2.19745	0.842198	-2.19745	0.842198
2.20914	0.834897	-2.20914	0.834897
2.22083	0.827629	-2.22083	0.827629
2.23251	0.820394	-2.23251	0.820394
2.2442	0.813194	-2.2442	0.813194
2.25589	0.806028	-2.25589	0.806028
2.26758	0.798898	-2.26758	0.798898
2.27927	0.791803	-2.27927	0.791803
2.29096	0.784746	-2.29096	0.784746
2.30265	0.777726	-2.30265	0.777726
2.31433	0.770744	-2.31433	0.770744
2.32602	0.763801	-2.32602	0.763801
2.33771	0.756897	-2.33771	0.756897
